time_bin,direction,metric,weekpart,season,sum_flow,sample_count
00:00,Eastbound Right Lane,bd,Weekday,Autumn,0.0,438
00:00,Eastbound Right Lane,bd,Weekday,Spring,0.0,467
00:00,Eastbound Right Lane,bd,Weekday,Summer,0.0,520
00:00,Eastbound Right Lane,bd,Weekday,Winter,0.0,347
00:00,Eastbound Right Lane,bd,Weekend,Autumn,0.0,216
00:00,Eastbound Right Lane,bd,Weekend,Spring,0.0,223
00:00,Eastbound Right Lane,bd,Weekend,Summer,0.0,236
00:00,Eastbound Right Lane,bd,Weekend,Winter,0.0,176
00:00,Eastbound Right Lane,drt,Weekday,Autumn,0.0,438
00:00,Eastbound Right Lane,drt,Weekday,Spring,0.0,467
00:00,Eastbound Right Lane,drt,Weekday,Summer,0.0,520
00:00,Eastbound Right Lane,drt,Weekday,Winter,0.0,347
00:00,Eastbound Right Lane,drt,Weekend,Autumn,0.0,216
00:00,Eastbound Right Lane,drt,Weekend,Spring,0.0,223
00:00,Eastbound Right Lane,drt,Weekend,Summer,0.0,236
00:00,Eastbound Right Lane,drt,Weekend,Winter,0.0,176
00:00,Eastbound Right Lane,sv,Weekday,Autumn,938.0,438
00:00,Eastbound Right Lane,sv,Weekday,Spring,1061.0,467
00:00,Eastbound Right Lane,sv,Weekday,Summer,1567.0,520
00:00,Eastbound Right Lane,sv,Weekday,Winter,760.0,347
00:00,Eastbound Right Lane,sv,Weekend,Autumn,1093.0,216
00:00,Eastbound Right Lane,sv,Weekend,Spring,1396.0,223
00:00,Eastbound Right Lane,sv,Weekend,Summer,1773.0,236
00:00,Eastbound Right Lane,sv,Weekend,Winter,1010.0,176
00:00,Eastbound Right Lane,svt,Weekday,Autumn,2.0,438
00:00,Eastbound Right Lane,svt,Weekday,Spring,2.0,467
00:00,Eastbound Right Lane,svt,Weekday,Summer,4.0,520
00:00,Eastbound Right Lane,svt,Weekday,Winter,2.0,347
00:00,Eastbound Right Lane,svt,Weekend,Autumn,0.0,216
00:00,Eastbound Right Lane,svt,Weekend,Spring,4.0,223
00:00,Eastbound Right Lane,svt,Weekend,Summer,5.0,236
00:00,Eastbound Right Lane,svt,Weekend,Winter,1.0,176
00:00,Eastbound Right Lane,t4,Weekday,Autumn,2.0,438
00:00,Eastbound Right Lane,t4,Weekday,Spring,0.0,467
00:00,Eastbound Right Lane,t4,Weekday,Summer,0.0,520
00:00,Eastbound Right Lane,t4,Weekday,Winter,0.0,347
00:00,Eastbound Right Lane,t4,Weekend,Autumn,0.0,216
00:00,Eastbound Right Lane,t4,Weekend,Spring,0.0,223
00:00,Eastbound Right Lane,t4,Weekend,Summer,0.0,236
00:00,Eastbound Right Lane,t4,Weekend,Winter,0.0,176
00:00,Eastbound Right Lane,tb2,Weekday,Autumn,38.0,438
00:00,Eastbound Right Lane,tb2,Weekday,Spring,43.0,467
00:00,Eastbound Right Lane,tb2,Weekday,Summer,50.0,520
00:00,Eastbound Right Lane,tb2,Weekday,Winter,31.0,347
00:00,Eastbound Right Lane,tb2,Weekend,Autumn,31.0,216
00:00,Eastbound Right Lane,tb2,Weekend,Spring,42.0,223
00:00,Eastbound Right Lane,tb2,Weekend,Summer,44.0,236
00:00,Eastbound Right Lane,tb2,Weekend,Winter,31.0,176
00:00,Eastbound Right Lane,tb3,Weekday,Autumn,0.0,438
00:00,Eastbound Right Lane,tb3,Weekday,Spring,0.0,467
00:00,Eastbound Right Lane,tb3,Weekday,Summer,1.0,520
00:00,Eastbound Right Lane,tb3,Weekday,Winter,0.0,347
00:00,Eastbound Right Lane,tb3,Weekend,Autumn,0.0,216
00:00,Eastbound Right Lane,tb3,Weekend,Spring,0.0,223
00:00,Eastbound Right Lane,tb3,Weekend,Summer,0.0,236
00:00,Eastbound Right Lane,tb3,Weekend,Winter,1.0,176
00:00,Eastbound Right Lane,total_flow,Weekday,Autumn,980.0,438
00:00,Eastbound Right Lane,total_flow,Weekday,Spring,1107.0,467
00:00,Eastbound Right Lane,total_flow,Weekday,Summer,1623.0,520
00:00,Eastbound Right Lane,total_flow,Weekday,Winter,794.0,347
00:00,Eastbound Right Lane,total_flow,Weekend,Autumn,1124.0,216
00:00,Eastbound Right Lane,total_flow,Weekend,Spring,1442.0,223
