date,time_bin,direction,total_flow,ped,pcl
2023-09-01,04:55,All directions,0.0,0.0,0.0
2023-09-01,04:55,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,04:55,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,04:55,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,04:55,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,05:00,All directions,3.0,1.0,2.0
2023-09-01,05:00,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,05:00,Northern Shared Path Westbound,1.0,1.0,0.0
2023-09-01,05:00,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,05:00,Southern Shared Path Westbound,2.0,0.0,2.0
2023-09-01,05:05,All directions,5.0,2.0,3.0
2023-09-01,05:05,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,05:05,Northern Shared Path Westbound,1.0,1.0,0.0
2023-09-01,05:05,Southern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,05:05,Southern Shared Path Westbound,3.0,0.0,3.0
2023-09-01,05:10,All directions,6.0,0.0,6.0
2023-09-01,05:10,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,05:10,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,05:10,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,05:10,Southern Shared Path Westbound,6.0,0.0,6.0
2023-09-01,05:15,All directions,8.0,2.0,6.0
2023-09-01,05:15,Northern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,05:15,Northern Shared Path Westbound,1.0,1.0,0.0
2023-09-01,05:15,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,05:15,Southern Shared Path Westbound,6.0,0.0,6.0
2023-09-01,05:20,All directions,12.0,2.0,10.0
2023-09-01,05:20,Northern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,05:20,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,05:20,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,05:20,Southern Shared Path Westbound,11.0,1.0,10.0
2023-09-01,05:25,All directions,5.0,1.0,4.0
2023-09-01,05:25,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,05:25,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,05:25,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,05:25,Southern Shared Path Westbound,5.0,1.0,4.0
2023-09-01,05:30,All directions,6.0,2.0,4.0
2023-09-01,05:30,Northern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,05:30,Northern Shared Path Westbound,1.0,1.0,0.0
2023-09-01,05:30,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,05:30,Southern Shared Path Westbound,4.0,0.0,4.0
2023-09-01,05:35,All directions,10.0,5.0,5.0
2023-09-01,05:35,Northern Shared Path Eastbound,1.0,0.0,1.0
2023-09-01,05:35,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,05:35,Southern Shared Path Eastbound,3.0,2.0,1.0
2023-09-01,05:35,Southern Shared Path Westbound,6.0,3.0,3.0
2023-09-01,05:40,All directions,8.0,2.0,6.0
2023-09-01,05:40,Northern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,05:40,Northern Shared Path Westbound,2.0,1.0,1.0
2023-09-01,05:40,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,05:40,Southern Shared Path Westbound,5.0,0.0,5.0
2023-09-01,05:45,All directions,13.0,2.0,11.0
2023-09-01,05:45,Northern Shared Path Eastbound,2.0,1.0,1.0
2023-09-01,05:45,Northern Shared Path Westbound,1.0,0.0,1.0
2023-09-01,05:45,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,05:45,Southern Shared Path Westbound,10.0,1.0,9.0
2023-09-01,05:50,All directions,10.0,2.0,8.0
2023-09-01,05:50,Northern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,05:50,Northern Shared Path Westbound,3.0,0.0,3.0
2023-09-01,05:50,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,05:50,Southern Shared Path Westbound,6.0,1.0,5.0
2023-09-01,05:55,All directions,17.0,11.0,6.0
2023-09-01,05:55,Northern Shared Path Eastbound,6.0,6.0,0.0
2023-09-01,05:55,Northern Shared Path Westbound,6.0,2.0,4.0
2023-09-01,05:55,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,05:55,Southern Shared Path Westbound,5.0,3.0,2.0
2023-09-01,06:00,All directions,9.0,1.0,8.0
2023-09-01,06:00,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,06:00,Northern Shared Path Westbound,5.0,1.0,4.0
2023-09-01,06:00,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,06:00,Southern Shared Path Westbound,4.0,0.0,4.0
2023-09-01,06:05,All directions,28.0,7.0,21.0
2023-09-01,06:05,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,06:05,Northern Shared Path Westbound,7.0,3.0,4.0
